timestamp,entity_id,entity_type,device_id,device_fingerprint,source_ip,geo_location,lat,lon,resource_accessed,auth_method,session_duration,command_sequence,login_success,pattern,signal_type,label,day,flag_impossible_travel,flag_brute_force,flag_lateral_movement,flag_new_device,flag_odd_hour,flag_mismatched_fingerprint,flag_coldstart,rule_flag_count,split,anomaly_score,sequence_score,risk_score,predicted_pattern,model_confidence,explanation
2026-07-04 03:29:35.141426,user_013,user,dev_c0b307ef,iOS-17.4|61:30:31:DC:B5:D8,155.177.189.32,London,51.5074,-0.1278,vpn_gateway,biometric,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.868,1.0,84.7,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-04 03:29:31.141426,user_013,user,dev_c0b307ef,iOS-17.4|61:30:31:DC:B5:D8,129.132.78.32,London,51.5074,-0.1278,vpn_gateway,biometric,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.868,0.938,83.5,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-04 02:28:34.141426,user_015,user,dev_780fe0e4,iOS-17.4|07:2F:79:55:D0:F8,144.107.62.6,Moscow,55.7558,37.6173,vpn_gateway,password,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.868,0.934,83.4,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-04 03:29:46.141426,user_013,user,dev_c0b307ef,iOS-17.4|61:30:31:DC:B5:D8,4.218.95.1,London,51.5074,-0.1278,vpn_gateway,biometric,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.868,0.899,82.7,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-04 02:28:37.141426,user_015,user,dev_780fe0e4,iOS-17.4|07:2F:79:55:D0:F8,96.39.37.229,Moscow,55.7558,37.6173,vpn_gateway,password,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.868,0.898,82.7,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-17 01:11:17.141426,user_014,user,dev_30c525e3,macOS-14.5|7F:62:61:E5:47:D8,20.157.254.116,Mumbai,19.076,72.8777,vpn_gateway,password,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-17,False,True,True,False,True,False,False,3,train,0.906,0.825,82.2,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-04 03:30:19.141426,user_013,user,dev_c0b307ef,iOS-17.4|61:30:31:DC:B5:D8,178.70.88.79,London,51.5074,-0.1278,vpn_gateway,biometric,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.906,0.825,82.2,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-04 02:29:15.141426,user_015,user,dev_780fe0e4,iOS-17.4|07:2F:79:55:D0:F8,200.158.127.110,Moscow,55.7558,37.6173,vpn_gateway,password,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.906,0.825,82.2,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-17 01:11:45.141426,user_014,user,dev_30c525e3,macOS-14.5|7F:62:61:E5:47:D8,104.130.9.112,Mumbai,19.076,72.8777,vpn_gateway,password,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-17,False,True,True,False,True,False,False,3,train,0.906,0.823,82.1,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
2026-07-04 02:29:19.141426,user_015,user,dev_780fe0e4,iOS-17.4|07:2F:79:55:D0:F8,213.1.2.134,Moscow,55.7558,37.6173,vpn_gateway,password,0.2,login,False,brute_force,Anomaly,brute_force,2026-07-04,False,True,True,False,True,False,False,3,train,0.906,0.823,82.1,brute_force,1.0,"Rules: Brute-force login pattern; Access to resource outside usual pattern; Login at an unusual hour for this entity; Unusual pattern across recent event sequence (gradual drift, sequence model) | Model attribution: session duration far from typical, login failed"
